"> 时间","> 描述","> 类别标签","> 开始日期","> 结束日期","> 备注","> 标识码"
"0.333","日记","2PM","2016-04-07 08:30:09","2016-04-07 08:50:09","","yazpGKZ6ShC7WTlTIZvSCA"
"2.500","微软机试","1J","2016-04-06 19:00:03","2016-04-06 21:30:03","","oTrT8LZYRRSr1CuXL6rnVg"
"0.167","弄一个C++问题","1C","2016-04-06 18:40:03","2016-04-06 18:50:03","","W79LjLaPSAW6anL61mUOKQ"
"0.500","生活中的事","4Pr","2016-04-06 18:00:03","2016-04-06 18:30:03","","rDm2V4wpTx6iKH8F0QAlig"
"0.333","弄一个C++问题，发现是IDE问题","1C","2016-04-06 16:30:03","2016-04-06 16:50:03","","BFLYqknRQ-O9fDqccC72ug"
"0.413","未通过的一道题进行调试","1C","2016-04-06 15:58:41","2016-04-06 16:23:26","","Kw7utzZPQfKNg_c_2hgCrw"
"0.939","看微软考过的题","1C","2016-04-06 14:38:45","2016-04-06 15:35:06","","-fZimRkVSDGQbbfbTwftQQ"
"0.479","拆书战队","2R","2016-04-06 13:45:17","2016-04-06 14:14:01","","tXiJxWknR8eWRSQaLk33kA"
"0.667","看电视剧；影响休息","4Pr","2016-04-06 12:50:49","2016-04-06 13:30:49","","OnSw9uQaTkmkElidwDj9YA"
"0.175","看微软考过的题","1C","2016-04-06 11:38:00","2016-04-06 11:48:29","","boumyoEQR6ehURpwWhx9nw"
"0.322","想一道题","1A","2016-04-06 11:18:39","2016-04-06 11:37:58","","VcPABHaCRGC1Pl0ud2ZeCw"
"1.076","Xu程序","4BK","2016-04-06 09:53:11","2016-04-06 10:57:44","","puPzZFdNRt2QREGyHpuMBQ"
"0.300","日记","2PM","2016-04-06 09:30:23","2016-04-06 09:48:23","","Ml4x6m0yQammY4rJ3btTqw"
"0.896","《精力管理》读书笔记","2R","2016-04-06 08:34:30","2016-04-06 09:28:17","","FBjo29FDRYOZ88v0xUn27g"
"0.350","恢复电脑文件","4O","2016-04-05 21:15:12","2016-04-05 21:36:12","","QALct3H8TdyGILmCsidNTA"
"0.542","Xu程序","4BK","2016-04-05 20:37:58","2016-04-05 21:10:28","","_jtpX901Tkq3VpATTrbZJw"
"1.517","基础算法","1A","2016-04-05 18:50:31","2016-04-05 20:21:31","","tuqqMHZHSt-_8pWHkz2RbQ"
"1.144","弄C++相关部分","1C","2016-04-05 16:17:39","2016-04-05 17:26:17","","xtGjROfRRfKlcURT3c0l9w"
"1.586","写一道题","1C","2016-04-05 14:21:13","2016-04-05 15:56:23","","MPjfMNiCTR2xzaPWDv9AqQ"
"0.769","《精力管理》读书笔记","2R","2016-04-05 13:29:45","2016-04-05 14:15:52","","ZwiCU8ynQ9OdR7rB-1MdtQ"
"0.500","hihocoder","1C","2016-04-05 11:10:25","2016-04-05 11:40:25","","JtTS1mwwQ22XXrwrnJTqbQ"
"0.290","hihocoder","1C","2016-04-05 10:45:15","2016-04-05 11:02:40","","jqVwzXdCTluXqI0NJvak1g"
"0.437","基础算法","1A","2016-04-05 09:57:16","2016-04-05 10:23:30","","kL234uCFSmmMc5lawrJZoQ"
"0.500","日记","2PM","2016-04-05 09:20:56","2016-04-05 09:50:56","","hdew4m3RSQaN6kSAErdbQQ"
"1.167","招商银行笔试","1J","2016-04-05 07:50:56","2016-04-05 09:00:56","","OmkQrD9-TY6vktyFgTTOGw"
"1.500","电脑的IDE问题，找到了问题：按照网上的瞎改弄的","4O","2016-04-04 22:00:11","2016-04-04 23:30:11","","KegmnxkxQ_amNMESazIHEg"
"2.000","行测题","1J","2016-04-04 19:00:11","2016-04-04 21:00:11","","TNHty5_HQWy45sZ8C47yrw"
"0.577","电脑的IDE问题","4O","2016-04-04 16:30:39","2016-04-04 17:05:16","","kdL6DTAISKiLD4W2Zho3DQ"
"1.167","Xu程序","4BK","2016-04-04 14:50:56","2016-04-04 16:00:56","","6O8BE2r0TEG3mLDS5Vc4VA"
"1.149","瞎找rough set库","4BK","2016-04-04 13:32:27","2016-04-04 14:41:24","","0wGvX7B3SmqKPX62Diagag"
"0.700","哈夫曼","1A","2016-04-04 11:02:04","2016-04-04 11:44:03","","bVBlPcnjRAq8S9MQYyPpiQ"
"0.216","《精力管理》读书笔记，状态差","2R","2016-04-04 10:38:57","2016-04-04 10:51:55","","p2IcyEg6QTWrYBUkMsjkXA"
"0.565","《精力管理》读书笔记","2R","2016-04-04 09:59:21","2016-04-04 10:33:15","","ShEG2eFGQ0izYjr6jnyh_Q"
"0.165","看招商银行","1J","2016-04-04 09:35:14","2016-04-04 09:45:08","","ebwOuPv7RPulqgIXKjH9Kw"
"0.483","日记","2PM","2016-04-04 09:00:17","2016-04-04 09:29:17","","AbQfp8drQkeNPuHTvey01w"
"0.970","看Bayes优化;没思路","1A","2016-04-03 20:44:59","2016-04-03 21:43:11","","-efQKtetQ4SqIc_QryNnbw"
"0.333","跟同学聊","4Pr","2016-04-03 20:20:11","2016-04-03 20:40:11","","sz2RLb0WTKKsgbRTBM6vTA"
"0.894","整理文件","2PM","2016-04-03 19:21:28","2016-04-03 20:15:05","","PJi2nNG5Tp2TJJ4W0u-6pg"
"0.550","连网","4O","2016-04-03 18:40:43","2016-04-03 19:13:43","","vJGlrdSaQlKdqWoB-FZ4sQ"
"4.000","看综艺节目及收拾东西","4E","2016-04-03 13:00:31","2016-04-03 17:00:31","","0v63dk2yToCMJhQi9c25VA"
"0.703","Xu程序修改犹豫不决","4BK","2016-04-03 10:58:07","2016-04-03 11:40:16","","hQ7BmUfDS4KKWhwFjR6HeQ"
"0.729","Xu程序","4BK","2016-04-03 10:08:59","2016-04-03 10:52:44","","R4HkQ2ybTcintvt_n8umcg"
"0.108","看下微软测试","1J","2016-04-03 10:02:04","2016-04-03 10:08:33","","uZm2d_nKSmmD4Gia79d5sA"
"0.627","《精力管理》读书笔记，想尽快做完，心静不下来","2R","2016-04-03 09:11:42","2016-04-03 09:49:19","","Z33JcGNHQJW21t94FlVwbw"
"1.005","《精力管理》读书笔记","2R","2016-04-03 07:44:55","2016-04-03 08:45:12","","XAEjkmpkSj-IHmzRPhypjg"
"0.233","日记","2PM","2016-04-03 07:30:42","2016-04-03 07:44:42","","tIGdSrNcSJeTeIvferKZCg"
"1.063","瞎总结，状态差","4Pr","2016-04-02 21:45:27","2016-04-02 22:49:15","","DzcR7z-VRlGrfgqD2xRemg"
"2.000","腾讯笔试","1J","2016-04-02 19:00:47","2016-04-02 21:00:47","","hmJ1kTpBSKWfeze3DImh2g"
"0.803","概率统计","1A","2016-04-02 16:41:49","2016-04-02 17:30:00","","d6HKpmKCQcmXEQTZOZX3Iw"
"0.825","瞎从网上找资料","3OL","2016-04-02 15:42:37","2016-04-02 16:32:08","","kPHMkdi9Q7quFctz0tjM6g"
"1.417","平衡二叉树","1A","2016-04-02 14:00:41","2016-04-02 15:25:41","","YUjUVpPVR_63SkbnuuS3UQ"
"0.500","思考一些问题","3OL","2016-04-02 13:30:41","2016-04-02 14:00:41","","LkMj-_USS5O3V14Ov0fejQ"
"0.352","boss任务","4BK","2016-04-02 11:13:48","2016-04-02 11:34:56","","YET_-f8kQbiSAsv7ZSOfZg"
"1.050","查腾讯校招笔试题","1J","2016-04-02 10:00:34","2016-04-02 11:03:34","","n6FOuJgxRRWljYLoCl0v8w"
"0.250","恶习","4Pr","2016-04-02 09:00:56","2016-04-02 09:15:56","","Br1u8DB2Q8qaYhqg_GAWWQ"
"1.000","恶习","4Pr","2016-04-02 07:00:56","2016-04-02 08:00:56","","4TTcOp0GTCmZMBIB3RLfmg"
"0.500","投简历","1J","2016-04-01 22:30:08","2016-04-01 23:00:08","","ORcSk2scQ6yQuFOuMZtbLA"
"1.000","不知道该干什么","4Pr","2016-04-01 21:00:08","2016-04-01 22:00:08","","zBdX-HMfQASSy0GPSn-Eog"
"3.000","聚餐","4O","2016-04-01 18:00:08","2016-04-01 21:00:08","","HmQ-0bsVQCml6TDgHUISTw"
"0.417","状态很差，回宿舍","4Pr","2016-04-01 16:20:08","2016-04-01 16:45:08","","n0twigmEQf2jMWrtbLVRvQ"
"1.378","Xu程序","4BK","2016-04-01 14:47:49","2016-04-01 16:10:28","","WqK3oX2uSs-VHa7dUt0jtg"
"1.780","boss任务","4BK","2016-04-01 12:49:28","2016-04-01 14:36:17","","mfCORtTrQUqf7WH4puzGhg"
"2.000","avl和数组指针","1A","2016-04-01 09:10:12","2016-04-01 11:10:12","","6nIs9bzrSsWuW6Jtvs2GvQ"
"0.858","读书笔记","2R","2016-04-01 07:52:38","2016-04-01 08:44:07","","AUTeNrInSgSd7a0VBCh4_g"
"0.333","日记","2PM","2016-04-01 07:30:03","2016-04-01 07:50:03","","2VP2hPulRGqGfcuvl_FsRw"
"0.250","早晨来后琐事","4Pr","2016-04-01 07:15:03","2016-04-01 07:30:03","","KXDVVyCDTTq-XSKtvDpvHA"
"0.500","蘑菇街笔试总结","1J","2016-03-31 23:00:02","2016-03-31 23:30:02","","h81OyL93Q02znujk_PWzjg"
"0.333","操场跑步","2R","2016-03-31 21:50:02","2016-03-31 22:10:02","","St2cRXdIQWG853actDZkmQ"
"2.000","蘑菇街笔试","1J","2016-03-31 19:00:02","2016-03-31 21:00:02","","DilVJED_Rmy-lNd_y6eXLw"
"0.500","看电视剧；影响休息","4Pr","2016-03-31 18:15:02","2016-03-31 18:45:02","","h1x30l-kRfSg4fnQoyrGmA"
"0.500","总结机器学习算法里的一些东西","1A","2016-03-31 16:50:02","2016-03-31 17:20:02","","kdsd3HEgTXu073aDD0yR1g"
"1.333","avl算法，沉在里面","1A","2016-03-31 15:15:48","2016-03-31 16:35:48","","kuwwOKw0SvOcx1WlKimLmw"
"1.226","avl","1A","2016-03-31 13:52:13","2016-03-31 15:05:48","","6kt1V9O7TJu_nNwf6ayvCw"
"0.462","瞎看实习信息","1J","2016-03-31 13:20:41","2016-03-31 13:48:24","","Vrxba_XYQbiXF56xcqKHUQ"
"0.967","黄论文","4BK","2016-03-31 11:13:00","2016-03-31 12:11:01","","fI9zfxYjTm2U1rElSx2pqg"
"0.878","黄论文","4BK","2016-03-31 10:11:52","2016-03-31 11:04:32","","iqhiv0XvR124xpnJZSn7AQ"
"0.597","看Bayes优化;没思路","1A","2016-03-31 09:15:55","2016-03-31 09:51:43","","y-znvKYTQlypPLDbn3Y2SA"
"0.675","《精力管理》","2R","2016-03-31 08:24:33","2016-03-31 09:05:04","","YEYaEIGIQfGp2Wx23c8HMQ"
"0.333","日记","2PM","2016-03-31 08:00:32","2016-03-31 08:20:32","","vejmRRxqR4yA6I-0GnFEiw"
"0.683","看Bayes优化；没思路","1A","2016-03-30 21:15:20","2016-03-30 21:56:20","","pNGy8tzKR7y7DOl8gzvK_Q"
"0.413","看Bayes优化","1A","2016-03-30 20:35:27","2016-03-30 21:00:12","","oghjhfJ2SB29YITtLLu2oA"
"0.664","黄论文检查","4BK","2016-03-30 19:25:20","2016-03-30 20:05:10","","puc3fBWPS_uOn0CPBkceSQ"
"0.568","黄论文检查","4BK","2016-03-30 18:41:20","2016-03-30 19:15:25","","bnlQBMoqQZanSzjRQwUh6g"
"0.500","看电视剧；影响休息","4Pr","2016-03-30 17:30:05","2016-03-30 18:00:05","","vFD1_PAaTpenoAg3bE1Uyw"
"0.734","黄程序；状态很差","4BK","2016-03-30 15:44:52","2016-03-30 16:28:54","","osqosTYGSdyBBhr5dZOFKg"
"0.500","投简历","1J","2016-03-30 14:50:11","2016-03-30 15:20:11","","3s9TjwjPSbOQdODDk6m8Fg"
"1.333","简历","1J","2016-03-30 13:20:11","2016-03-30 14:40:11","","xKzH3e1XT5WNhLIitDtrcg"
"0.333","英文简历","1J","2016-03-30 11:40:57","2016-03-30 12:00:57","","a2K5DpMhT0qRyl75r1W5PQ"
"1.315","英文简历","1J","2016-03-30 10:18:37","2016-03-30 11:37:30","","8LJsytApSS23larQyWIixQ"
"0.765","英文简历","1J","2016-03-30 09:23:36","2016-03-30 10:09:31","","jh9c6-JuSV6nCx5CHMBXQw"
"0.300","阅读","2R","2016-03-30 08:55:00","2016-03-30 09:13:00","","H-eaFjPDRPOoJwM5gaTocg"
"0.517","日记及总结","2PM","2016-03-30 08:15:35","2016-03-30 08:46:35","","t1f0fETPQX20B3yxviamuQ"
"1.000","英文简历","1J","2016-03-29 22:00:31","2016-03-29 23:00:31","","Sph9iqIIRoC47MwmdyNjkw"
"0.250","360笔试总结","1J","2016-03-29 21:00:31","2016-03-29 21:15:31","","cZ_UccfGTt2-CUS2i7sW9g"
"2.000","360笔试","1J","2016-03-29 19:00:31","2016-03-29 21:00:31","","qvpuM8KdRP2Nf1ENVV0GrQ"
"0.667","准备360笔试","1J","2016-03-29 18:20:30","2016-03-29 19:00:30","","VjDG7_RnTp-OcfV_rMdEFA"
"1.105","准备360笔试","1J","2016-03-29 15:34:27","2016-03-29 16:40:44","","2zP1oXZ7QSi02t9gbfKzNA"
"0.417","瞎弄素数算法","1A","2016-03-29 15:00:06","2016-03-29 15:25:06","","m3-ze92pSqy4J4dB7FPUEw"
"0.343","素数算法","1A","2016-03-29 14:39:00","2016-03-29 14:59:35","","uY-2hssISTqDReuZ1ASaVw"
"1.150","复习矩阵知识","1A","2016-03-29 13:20:58","2016-03-29 14:29:58","","we8EZl0-TpirR3WrvtKY0A"
"2.493","360笔试 题","1J","2016-03-29 09:01:22","2016-03-29 11:30:55","","3qRbi8C5SQCv7GvdD8q3ww"
"0.833","360能力测评","1J","2016-03-28 22:00:28","2016-03-28 22:50:28","","T7ZTW60_R7eI5Eg42G42oA"
"0.667","折腾360模拟","1J","2016-03-28 20:50:28","2016-03-28 21:30:28","","l1pW9-7ZRu-r6VW6FmITrQ"
"2.167","微软宣讲会","1J","2016-03-28 18:20:28","2016-03-28 20:30:28","","Wbe_SvEuRLeeyciJCGCYEQ"
"0.417","跟boss聊","4BK","2016-03-28 16:45:28","2016-03-28 17:10:28","","m3_3iY6dThuV85e7ZyFy4w"
"1.380","黄程序，图片格式","4BK","2016-03-28 15:17:40","2016-03-28 16:40:29","","3p6bRzJWQCSX5o5ud6m2DQ"
"0.868","黄程序","4BK","2016-03-28 14:10:52","2016-03-28 15:02:57","","WaLyMiNyS5OBh_ZB9XJ7wQ"
"0.717","scalers成长会","2R","2016-03-28 13:15:18","2016-03-28 13:58:18","","JWBDVwgfQmSLWQdsc-GsqA"
"0.417","黄程序","4BK","2016-03-28 11:30:18","2016-03-28 11:55:18","","wGitrUMtSpqnHSoRDc96_w"
"0.583","打布克","4E","2016-03-28 10:45:18","2016-03-28 11:20:18","","hymQOdqTT7mEYdht4prnCA"
"1.129","黄程序，修改程序，思路混乱","4BK","2016-03-28 09:31:03","2016-03-28 10:38:46","","6QkQX78cSAO_XJJxXLCKMg"
"0.417","scalers成长会","2R","2016-03-28 08:55:31","2016-03-28 09:20:31","","jwwDq59dSGCVDjTNE-Dstw"
"0.367","日记","2PM","2016-03-28 08:25:47","2016-03-28 08:47:47","","Ve82KqraS72n5rLrpUUyQA"
"0.167","乱玩手机","4Pr","2016-03-28 08:10:47","2016-03-28 08:20:47","","wwxQjNLTTBKseyCMe5Rz8g"
"0.167","黄程序","4BK","2016-03-27 21:50:15","2016-03-27 22:00:15","","Jd4vNRnVSUWi_otpmK7HtQ"
"1.000","帮大姐P照片","4O","2016-03-27 20:30:15","2016-03-27 21:30:15","","Tnit45zzRxSBQlGCpwCJbA"
"0.250","scalers成长会","3OL","2016-03-27 20:05:15","2016-03-27 20:20:15","","yju-uLLeRzCDyAngbw3N4A"
"1.333","瞎总结","1C","2016-03-27 18:40:15","2016-03-27 20:00:15","","8XXJbC6vTcqD9pmkCGabJw"
"0.500","总结和改进，状态差","1C","2016-03-27 17:00:15","2016-03-27 17:30:15","","Ai2QEvBpS5-4CX7ovmYaeg"
"3.000","机试","1C","2016-03-27 14:00:15","2016-03-27 17:00:15","","9j8uPf2XTfWmsFssB8khsw"
"0.417","投百度简历","1J","2016-03-27 13:30:15","2016-03-27 13:55:15","","jx0F7SFiRWiPPniDOro3GA"
"0.526","换一个JAVA IDE","4BK","2016-03-27 11:33:43","2016-03-27 12:05:17","","r0MR9va3TBK6HC38BJkYNQ"
"0.583","看算法，思路停滞","1A","2016-03-27 10:40:22","2016-03-27 11:15:22","","vVgn4lUBS-WQH6XT72fMzQ"
"0.734","一个算法","1A","2016-03-27 09:51:16","2016-03-27 10:35:19","","bHZkQRIfThmeJiNQUAYVIA"
"1.952","《Scalerstalk》","2R","2016-03-27 07:35:03","2016-03-27 09:32:11","","-L4KEpovSCyrySQf693w6Q"
"3.083","我和僵尸有个约会","4E","2016-03-26 20:50:20","2016-03-26 23:55:20","","h-tuQ9LNTKOuLtk8iijp2w"
"0.417","看Outlook","2PM","2016-03-26 20:15:00","2016-03-26 20:40:00","","7yuDkxByQAa_Nzd-V3UA6Q"
"0.333","看Outlook","2PM","2016-03-26 19:20:00","2016-03-26 19:40:00","","W4-vmDDOT9Osf-Yq-pKltg"
"0.333","一段程序","1C","2016-03-26 17:10:00","2016-03-26 17:30:00","","WJ03U_qfRMSDcnWkaq2W3w"
"1.161","黄程序；思路不清","4BK","2016-03-26 15:55:54","2016-03-26 17:05:35","","fzH7goHeTtu_0az1xi8-TA"
"2.000","看电视剧","4Pr","2016-03-26 13:10:35","2016-03-26 15:10:35","","bpGhovSeSSutuYjlwS3NEQ"
"4.000","华为笔试","1J","2016-03-26 08:00:13","2016-03-26 12:00:13","","CO23ut4IRdSElSizp8crHg"
"1.167","腾讯模拟考","1J","2016-03-25 21:20:35","2016-03-25 22:30:35","","hAz_uJ5IRMeX6yecCkJblA"
"0.830","黄论文","4BK","2016-03-25 19:12:00","2016-03-25 20:01:47","","3OB1lryrQ12R2dUh-JaKKw"
"1.500","二叉树删除","1A","2016-03-25 15:20:37","2016-03-25 16:50:37","","iYEXBASsRkC2_PW0FTvQ4A"
"0.450","黄程序","4BK","2016-03-25 14:35:29","2016-03-25 15:02:29","","iPx-GEs9Qi-4OOr0VtVtxA"
"0.458","平衡二叉树","1A","2016-03-25 14:08:01","2016-03-25 14:35:29","","u-rVjfsiSg-UM3KShruoQA"
"0.750","看电视剧；影响休息","4Pr","2016-03-25 12:55:33","2016-03-25 13:40:33","","jgE4SRFbQhuLC-imvWhcUQ"
"1.713","avl","1A","2016-03-25 10:12:41","2016-03-25 11:55:28","","2WzGuqrAQXacqluyR-sS_w"
"0.450","一道avl题","1A","2016-03-25 09:30:37","2016-03-25 09:57:37","","JaxRqK4lSia4-kJJ_i6hFA"
"0.250","日记","2PM","2016-03-25 09:15:37","2016-03-25 09:30:37","","zOAUUqnnTuOXzi-uO2e0hg"
"0.725","《读书笔记》发现自己早该放弃了","2R","2016-03-25 08:24:19","2016-03-25 09:07:49","","iQj1FESkROyI14eOvKpqfg"
"0.350","想一道AVL题","1C","2016-03-24 22:10:42","2016-03-24 22:31:42","","QU61rMgaTbmVDn3mZFopDw"
"1.108","avl","1A","2016-03-24 21:03:37","2016-03-24 22:10:05","","BwA5GVFBQ1uJXNg5QpPt7Q"
"0.750","黄论文","4BK","2016-03-24 19:45:55","2016-03-24 20:30:55","","L7yYtXi3QKKLbngWg69NhA"
"0.621","avl","1A","2016-03-24 18:59:07","2016-03-24 19:36:24","","nhrnhK-mRROIhzf_e7I6bw"
"0.231","黄论文","4BK","2016-03-24 17:06:53","2016-03-24 17:20:44","","PJoBwMVgTbGvThPiqI52bw"
"1.527","论文","4BK","2016-03-24 15:25:02","2016-03-24 16:56:38","","FLEQzFtNS8OFifp8g3HSmA"
"1.138","SMO算法总结","1A","2016-03-24 14:05:34","2016-03-24 15:13:51","","TFjQuIGTQN2uElUYtQgEPA"
"0.567","看电视剧；影响休息","4Pr","2016-03-24 13:05:50","2016-03-24 13:39:50","","fezsA7osQPONDTujfFekXQ"
"1.000","SMO算法总结","1A","2016-03-24 11:20:45","2016-03-24 12:20:45","","RG-I4_7aQl-pR2fVomJX-g"
"0.921","SMO算法","1A","2016-03-24 10:14:00","2016-03-24 11:09:15","","XW2t6Yh4TTGtiomnI70X8A"
"0.300","日记","2PM","2016-03-24 09:55:46","2016-03-24 10:13:46","","XbKi7JW4Tg6sGn0qPzt-jA"
"0.333","读书笔记","2R","2016-03-24 09:10:29","2016-03-24 09:30:29","","_w6ASbNJR5Og1qPmcKi-zg"
"0.500","读书笔记","2R","2016-03-24 08:20:29","2016-03-24 08:50:29","","oVf-aD8SQiKvh-OAHFBmig"
"0.499","Xu程序","4BK","2016-03-23 21:28:46","2016-03-23 21:58:44","","mx2pEj6bRNm9BdPkj7dbbA"
"0.850","瞎想SVM","1A","2016-03-23 20:30:25","2016-03-23 21:21:25","","MM4PThz8QuKpEl8ZdZay1w"
"1.167","Python学习","1C","2016-03-23 19:15:43","2016-03-23 20:25:43","","XdBIJtfKSoWOCVhLGYGdXg"
"1.338","输入输出","1C","2016-03-23 16:30:44","2016-03-23 17:51:00","","hJA1eCuBRLiPqkTPbVJVlw"
"0.784","Xu程序","4BK","2016-03-23 15:23:23","2016-03-23 16:10:25","","sWeeCXEpSG21K5PTs1eBfA"
"1.565","Xu程序","4BK","2016-03-23 13:39:51","2016-03-23 15:13:44","","9oYPjwj2R3SM-MDM1pJ_IQ"
"1.417","Xu程序","4BK","2016-03-23 10:35:50","2016-03-23 12:00:50","","5mGk0luTQnOvd4tBWNCioQ"
"0.544","Xu程序","4BK","2016-03-23 09:56:58","2016-03-23 10:29:36","","HnUBFhBaTVSd6DwJlLGRgA"
"0.233","日记","2PM","2016-03-23 09:30:28","2016-03-23 09:44:28","","CAgAdiKnQrOthqTwngLLCQ"
"0.160","读书笔记","2R","2016-03-23 09:16:48","2016-03-23 09:26:23","","EdMVf1_iTPG3OQDKOJ9blQ"
"0.950","投简历","1J","2016-03-23 08:10:35","2016-03-23 09:07:35","","zQaoySIfSACpkvOkNQ3Irw"
"1.333","看电视剧","4Pr","2016-03-22 21:40:43","2016-03-22 23:00:43","","ENbdCy6XScWolvlLDS4gDw"
"0.417","网易笔试总结，状态很差","1J","2016-03-22 21:05:43","2016-03-22 21:30:43","","ELdIgAVBQB6Y3Eu9nRIpxA"
"2.000","网易笔试","1J","2016-03-22 19:00:43","2016-03-22 21:00:43","","DGEqdBzYSzKwVxyFp6MCuA"
"1.725","Xu程序","4BK","2016-03-22 15:36:39","2016-03-22 17:20:08","","auYvyZf_Tay3FeJ6m5HE6A"
"0.663","Xu程序","4BK","2016-03-22 14:50:38","2016-03-22 15:30:25","","NOF4U5ClQkS2uaaq-G-h7Q"
"0.829","SQL语句","1B","2016-03-22 13:50:39","2016-03-22 14:40:24","","IZdRjrThTb--tOseQN5rEw"
"0.500","看电视剧，影响休息","4Pr","2016-03-22 12:55:18","2016-03-22 13:25:18","","knjjtKxTRF6I655TfOyyRw"
"1.033","机器学习算法，没看懂","1A","2016-03-22 11:00:24","2016-03-22 12:02:24","","17HWXTUlTQW9PNpsz9tPVg"
"0.589","机器学习算法笔记","1A","2016-03-22 10:09:26","2016-03-22 10:44:48","","KaVYf0i4Q26PfDSuRaJjuw"
"0.751","数据结构","1A","2016-03-22 09:18:15","2016-03-22 10:03:20","","1u8I-afnTI6HVKcJZZ83mA"
"0.398","读书笔记","2R","2016-03-22 08:49:06","2016-03-22 09:12:57","","RWPiwBqkRIus1FhOJ-J5OQ"
"1.006","机器学习算法","1A","2016-03-21 22:36:31","2016-03-21 23:36:52","","O8ylABIwQd-BWNt-JQwQcw"
"1.550","机器学习算法","1A","2016-03-21 20:40:59","2016-03-21 22:13:59","","_gbxLrYCTkK1cTmehgHEBA"
"1.483","网易笔试题瞎看","4Pr","2016-03-21 18:50:28","2016-03-21 20:19:28","","2vPYWOKCTLONBybXS_OJaw"
"1.001","机器学习课程笔记","1A","2016-03-21 16:14:43","2016-03-21 17:14:48","","30G9VGbvST-gC0-nwJaH7Q"
"1.779","机器学习课程笔记","1A","2016-03-21 13:46:13","2016-03-21 15:32:57","","oKdWH534T3eTXf3iCwdabg"
"0.667","看电视剧，影响休息","4Pr","2016-03-21 12:40:46","2016-03-21 13:20:46","","p5iA_N7XSLuMAptIFMoISw"
"0.880","机器学习课程笔记","1A","2016-03-21 10:42:15","2016-03-21 11:35:03","","TzIHUPA6SoW8FHnwMeh92Q"
"1.183","论文回复","4BK","2016-03-21 09:20:03","2016-03-21 10:31:03","","dG-cfeGAQfOKb89pi7ue_w"
"0.583","思维导图","2R","2016-03-21 08:35:03","2016-03-21 09:10:03","","2NdW9dZ6TtSk_o4lPKvzLg"
"0.183","时间记录","2PM","2016-03-21 08:15:45","2016-03-21 08:26:45","","ctaEntuxTw2CxfpVv7FSPA"
"1.500","机器学习课程","1A","2016-03-20 21:00:45","2016-03-20 22:30:45","","o_ZxI52RTiizWAZBVFSOFg"
"0.417","论文回复","4BK","2016-03-20 20:00:45","2016-03-20 20:25:45","","DUOXGGvSR66olhMID5mVlQ"
"2.000","听宣讲会","1J","2016-03-20 18:00:45","2016-03-20 20:00:45","","kEI9_EgqTMWUMrXPMNfALA"
"0.500","机器学习课程","1A","2016-03-20 16:30:45","2016-03-20 17:00:45","","7IWVvziCSDKLMP0vELbDlA"
"0.333","课程视频下不下来","1A","2016-03-20 16:00:45","2016-03-20 16:20:45","","FWX1bi2ZQG6sFJ5e0KlKNw"
"0.333","看Bayes优化","1A","2016-03-20 15:40:45","2016-03-20 16:00:45","","tuV6v0DZSCW9xQHxqVdVwQ"
"0.500","帮大姐看手机","4O","2016-03-20 15:00:45","2016-03-20 15:30:45","","wDhaNxc5R3CEL1Z_Ka22AA"
"1.750","看电视剧","4Pr","2016-03-20 13:05:45","2016-03-20 14:50:45","","ZcYyHsImSBOy8O4MdSRnrA"
"1.000","机器学习课程","1A","2016-03-20 10:30:45","2016-03-20 11:30:45","","72Xs8bVbSL6I9uLlp785fQ"
"1.000","听草莓分享","2R","2016-03-20 09:20:45","2016-03-20 10:20:45","","xmqZ0Mn1TNWvHLVLisS1GA"
"0.517","看实习信息","1J","2016-03-20 08:40:08","2016-03-20 09:11:08","","qJStYSJqTmuje8aulWT4Wg"
"0.300","机器学习课程笔记","1A","2016-03-19 23:40:48","2016-03-19 23:58:48","","nA9pg7LfQWOaPGHvrqTwYg"
"0.644","机器学习课程笔记","1A","2016-03-19 21:54:48","2016-03-19 22:33:27","","1Vy2fBnwSz6eyFX19t7AMQ"
"1.500","机器学习课程笔记","1A","2016-03-19 19:50:57","2016-03-19 21:20:57","","NlKo8djpTpGWvTm4o0Xdlw"
"0.750","恶习","4Pr","2016-03-19 18:35:27","2016-03-19 19:20:27","","kEXvbTJjRKGg4Y1bOF_X8w"
"0.689","机器学习课程","1A","2016-03-19 17:08:43","2016-03-19 17:50:04","","i9jpnOWgSHq0osSk_Xdjnw"
"0.500","看电视剧","4Pr","2016-03-19 16:30:48","2016-03-19 17:00:48","","_4C7V3e-QY65RjrIcMR9Iw"
"0.963","机器学习课程","1A","2016-03-19 15:27:28","2016-03-19 16:25:15","","XF5z5E6uRo6qtBsWYUURcw"
"1.083","机器学习课程","1A","2016-03-19 14:10:30","2016-03-19 15:15:30","","OYBBCFKKSumLWOTWV_utMw"
"0.807","一些问题的解决","3OL","2016-03-19 13:16:25","2016-03-19 14:04:49","","SXT5EImoQ3edAEyzZAflVg"
"2.000","PAT一道题","1C","2016-03-19 09:30:45","2016-03-19 11:30:45","","vxjEtJktRlej7ZChw3G7Xg"
"1.000","乱七八糟的事","4Pr","2016-03-19 08:30:45","2016-03-19 09:30:45","","K0kaiZGWQ5igbnSAdbd_EA"
"1.000","看电视剧","4Pr","2016-03-18 21:20:17","2016-03-18 22:20:17","","wPGZThB7TPy3VAACXW5__Q"
